Amount of Chemo (Q),Consecutive Chemo Days,Cycle Length Days,Glial Cells (Healthy),Glioma Cells (Cancerous),Neuron Cells (N),Chemo in Body (Q)
1725,4,46,0.996609715470258,3.54431995119704e-10,0.952591525009003,4.89383528312497
1762.5,4,47,0.996397608681835,2.25724842195351e-10,0.951403961644215,37.2006635927983
1800,4,48,0.996185912409627,1.44256472993018e-10,0.95011605781812,281.489425518394
1837.5,4,49,0.996151175547299,1.33896290362503e-10,0.949201043509951,2131.26533254472
1875,4,50,0.996776857974955,4.71753825165567e-10,0.951748838459013,0.720148202591061
600,5,20,0.996481981639273,1.13077440426885e-09,0.966859536504132,129.188904569611
630,5,21,0.99643773450369,1.05392024097596e-09,0.966358441127582,245.874289992308
660,5,22,0.996410220216051,9.31157805407615e-10,0.965830856310881,315.508345814198
690,5,23,0.99641942981807,9.23789833601777e-10,0.965409488587331,268.690175435079
720,5,24,0.996471336408123,1.02296103050187e-09,0.965094924473899,145.88615991313
750,5,25,0.996561967871908,1.20395180510291e-09,0.964942898574252,55.7999191595256
780,5,26,0.996448597862849,8.98570474898041e-10,0.964036438460016,2741.4357720428
810,5,27,0.996376956020866,7.75314534277724e-10,0.963452550799205,549.461301395892
840,5,28,0.996509265336406,9.5285159459203e-10,0.963388947012819,79.8833415779315
870,5,29,0.996420411172873,7.8927641438392e-10,0.96239287057509,2494.59164241866
900,5,30,0.99642877670682,7.59369660773612e-10,0.962019409352111,189.698629990713
930,5,31,0.996576369656551,1.06860943261682e-09,0.96197593327946,2570.98737071995
960,5,32,0.996415662529705,7.02624439736908e-10,0.960848539273803,201.775388339509
990,5,33,0.996542311003605,9.21601308225398e-10,0.960678685565028,3135.54246599964
1020,5,34,0.996472842615734,7.58815158400727e-10,0.959928847390853,96.5805429213372
1050,5,35,0.996335954733895,5.68757868751902e-10,0.95863108263152,1640.2085843025
1080,5,36,0.996612200727259,9.34497990990742e-10,0.959302026252755,20.6111195969074
1110,5,37,0.996372795039674,5.7528905491658e-10,0.957951015140267,286.558789353641
1140,5,38,0.99651150979505,7.61987288442714e-10,0.957786908939228,3986.51437259448
1170,5,39,0.996593343679758,8.33247285170989e-10,0.957702715230686,22.3406236952619
1200,5,40,0.996360310068024,5.06563532913487e-10,0.956357312237059,252.874923673988
1230,5,41,0.996389267363031,5.56994903721428e-10,0.955744189297211,2874.37247222117
1260,5,42,0.996689077975292,9.24620686892634e-10,0.956587676344737,7.22269227643663
1290,5,43,0.996463186495479,5.70485864972225e-10,0.955343647648624,66.9955820803635
1320,5,44,0.996285503006709,4.25776745552189e-10,0.954222132543303,627.053186425415
1350,5,45,0.996614394910215,7.70942750255685e-10,0.954922437707568,4268.68207489843
1380,5,46,0.996700100945597,8.60093749385844e-10,0.95492175416327,5.29680699568401
1410,5,47,0.996491211256289,5.44607117254554e-10,0.953699953739828,40.1832336501048
1440,5,48,0.996297036992265,3.60221822126494e-10,0.952527375796937,300.935148726764
1470,5,49,0.996307478151425,3.75974971891287e-10,0.951857040841047,2306.22012594963
1500,5,50,0.996886379692457,1.16172662744585e-09,0.9541229719416,0.73705121325455
500,6,20,0.996557013462947,2.261003081121e-09,0.967844103150682,136.143395213555
525,6,21,0.996494604245014,1.81952449813765e-09,0.967355392427527,261.612760572328
550,6,22,0.996475640370843,1.73194116871268e-09,0.966910113849135,340.478886165944
575,6,23,0.996479246152816,1.67177391629079e-09,0.966550799483711,294.667339356862
600,6,24,0.996526652882646,1.81172418089821e-09,0.966300621503773,165.639874306656
625,6,25,0.99660413976216,2.04139064182471e-09,0.966110168017357,64.0247514722704
650,6,26,0.996546723750524,1.7937742839612e-09,0.965538474203551,2288.72466041177
675,6,27,0.996430782582732,1.36990432364097e-09,0.964811786749277,629.746171307081
700,6,28,0.996577943189498,1.78025200752655e-09,0.964907691873455,87.7552115777245
725,6,29,0.99652348429177,1.58809263868352e-09,0.964216490566671,2740.53523090796
750,6,30,0.996488335834064,1.4085518000289e-09,0.963667838165586,208.839145974286
775,6,31,0.996657041609952,2.00220633879816e-09,0.963738180146532,2144.89327051728
800,6,32,0.996477095225695,1.3516322509707e-09,0.962579177467664,223.447441480606
825,6,33,0.996629203918651,1.73430001228286e-09,0.962507671691171,2614.62631657166
850,6,34,0.996534861519462,1.3632783365628e-09,0.961665367344164,105.756473569819
875,6,35,0.996429316858604,1.1424405408915e-09,0.960555480043559,1809.58023028821
900,6,36,0.996669306245899,1.80425398948479e-09,0.96108407106808,22.7017288395994
925,6,37,0.996429966520538,1.08290066017436e-09,0.959727438666431,315.47624552797
950,6,38,0.996607672353815,1.45263583041203e-09,0.959749212108646,3322.95687893811
975,6,39,0.996652025431459,1.52379077126058e-09,0.959486753449773,24.5161507743006
1000,6,40,0.996427208903478,9.70588762223121e-10,0.958187761387101,278.81265672857
1025,6,41,0.996499925858616,1.11880262063316e-09,0.957765345849649,3126.10733678481
1050,6,42,0.996760099219473,1.73023800224645e-09,0.958421733617805,7.55844294071477
1075,6,43,0.996526178687641,1.04988334756247e-09,0.957127348890263,73.7774206372575
1100,6,44,0.996353586337912,7.74075670406196e-10,0.955994183253672,684.417651470104
1125,6,45,0.996711740867537,1.50106505510761e-09,0.956922495089097,3557.44476669428
1150,6,46,0.996760117493038,1.5879855064617e-09,0.956715386577829,5.76527967954327
1175,6,47,0.996557659260762,1.0031623309713e-09,0.955548725640173,43.679546024195
1200,6,48,0.996365201639575,6.97924709230552e-10,0.954393232881512,334.042433424321
1225,6,49,0.996413730778389,7.7413892877439e-10,0.95390172192917,2486.00689370483
1250,6,50,0.9969132771493,1.94882450686955e-09,0.955693785127732,0.853694107775033
428.571428571429,7,20,0.996585678864339,3.25491958368693e-09,0.968482362238086,152.928743763612
450,7,21,0.996530971996978,2.77919373632729e-09,0.968058661812719,297.422942738456
471.428571428571,7,22,0.996513422873579,2.64974785698723e-09,0.967702317463414,383.108598002673
492.857142857143,7,23,0.996520889848931,2.58631700070322e-09,0.96738304973742,327.54030903315
514.285714285714,7,24,0.996568635381384,2.79372040341154e-09,0.967218572489992,186.167518332078
535.714285714286,7,25,0.996639122415622,3.07399657741076e-09,0.967052320373921,71.4403809556967
557.142857142857,7,26,0.996610311960608,2.9296307742087e-09,0.966652804227778,1965.58636718792
578.571428571429,7,27,0.996490119201883,2.21836360156638e-09,0.965927615926181,697.080740204474
600,7,28,0.9966036638544,2.63851090315885e-09,0.965973298658994,97.5907103640847
621.428571428571,7,29,0.996608186253572,2.77429335160374e-09,0.965623865780998,2350.87190285657
642.857142857143,7,30,0.996536898248793,2.23768111905016e-09,0.965022629575525,231.849975272276
664.285714285714,7,31,0.996695167973687,2.95407672132989e-09,0.965061222461255,1841.43394954816
685.714285714286,7,32,0.996527975998657,2.02833834368076e-09,0.963994008020988,245.014270973421
707.142857142857,7,33,0.996687945464032,2.81619261406461e-09,0.964011463457504,2242.5899495065
728.571428571429,7,34,0.996582048783075,2.26163844023537e-09,0.963175184358155,118.257412234218
750,7,35,0.996494978681894,1.78478408391789e-09,0.962109418658012,1999.53108410126
771.428571428571,7,36,0.996711531993441,2.71031380660196e-09,0.962549496111361,25.0027809632892
792.857142857143,7,37,0.996485502102039,1.72144077255502e-09,0.961315448785309,349.291192811368
814.285714285714,7,38,0.996685992108154,2.50137684562373e-09,0.961447897023073,2848.58933491622
835.714285714286,7,39,0.996688896198127,2.34661751544093e-09,0.960975618138502,27.1135256673816
857.142857142857,7,40,0.996467504197832,1.45058292950958e-09,0.959686169649199,310.24312308722
878.571428571429,7,41,0.996598872051525,1.96092450101774e-09,0.959536058399296,3508.13076466326
900,7,42,0.9967932331962,2.71481519598404e-09,0.959926469866902,8.64426926869754
921.428571428571,7,43,0.996573563719792,1.70158499093812e-09,0.958698737071284,81.7789687308082
942.857142857143,7,44,0.996406810048728,1.16609918964693e-09,0.957481145822838,757.32004444425
964.285714285714,7,45,0.996779927476913,2.49624101457147e-09,0.958554230390735,3049.97310347295
985.714285714286,7,46,0.996807573574323,2.47382383742679e-09,0.958213085172233,6.24904372018889
1007.14285714286,7,47,0.996599276626386,1.69001937841309e-09,0.957091912160179,48.7449608373031
1028.57142857143,7,48,0.996417181663531,1.09057939745961e-09,0.955911529765905,371.29880312936
1050,7,49,0.996472630237037,1.20211548474753e-09,0.955386494741655,2807.07500290569
1071.42857142857,7,50,0.996949441638418,3.052599392367e-09,0.957158575933794,0.945834708367817
375,8,20,0.996600338416624,4.23864937103866e-09,0.968952981608235,175.89690972405
393.75,8,21,0.996566422238238,4.05872909889684e-09,0.968629089714597,335.258303013123
412.5,8,22,0.996548937708126,3.67206782716282e-09,0.968307967994279,423.790385208776
431.25,8,23,0.996571160340222,4.0753802766825e-09,0.968084214935367,348.854629956458
450,8,24,0.996595683570591,3.89063973871256e-09,0.967853491005416,208.03962210976
468.75,8,25,0.996671785507822,4.45631324795258e-09,0.967735973363599,78.6974211835907
487.5,8,26,0.996658795570605,4.34513647932858e-09,0.967502153521216,1724.34223159222
506.25,8,27,0.996516216184975,3.04085544994309e-09,0.966686819290399,771.631482594425
525,8,28,0.996653798143248,4.1218474860312e-09,0.966917545302438,108.953038017983
543.75,8,29,0.996647299081571,3.89473518514794e-09,0.966621301598738,2059.39065928875
562.5,8,30,0.996555810667938,2.94219430951319e-09,0.966018788140511,259.936832291298
581.25,8,31,0.996735903807702,4.33156278487627e-09,0.966219689639251,1613.84761811846
600,8,32,0.996545225666875,2.81985680082478e-09,0.965099100500658,277.210066184523
618.75,8,33,0.996725305689726,3.86538142263448e-09,0.965244731493528,1963.89109523098
637.5,8,34,0.996600225501304,3.00467731113074e-09,0.964337004442863,131.941909177236
656.25,8,35,0.996557923532876,2.79017754031037e-09,0.963524834810241,2245.07070201271
675,8,36,0.996735961324458,3.67344619975017e-09,0.963808292567758,28.0502104365501
693.75,8,37,0.996512594650878,2.27548822953303e-09,0.962549131141872,385.68661708364
712.5,8,38,0.996748862317199,3.79652114339651e-09,0.962908514316931,2493.42776776687
731.25,8,39,0.996717910419588,3.43008647432826e-09,0.962280793992853,30.4142022392977
750,8,40,0.996503225376342,2.06463971119804e-09,0.96103214018657,344.937998041875
768.75,8,41,0.99666086100156,2.90407488074344e-09,0.961014880441633,3070.43082513129
787.5,8,42,0.996808015387501,3.69264627711642e-09,0.961161691996473,9.74744716767712
806.25,8,43,0.996597748003378,2.34795635456813e-09,0.959988488976871,91.4544500587702
825,8,44,0.996446670893777,1.68949475534168e-09,0.95879245625509,841.127225001122
843.75,8,45,0.996836277980488,3.83952820639276e-09,0.960018220684167,2668.43438629321
862.5,8,46,0.996817637726247,3.44365169433204e-09,0.959430783517997,7.14118106157052
881.25,8,47,0.996638354496041,2.34438070781007e-09,0.958419249924332,52.3713875505132
900,8,48,0.996453817888098,1.5178704873628e-09,0.957221632659643,414.189506982085
